key,Current_status,Created,historyid,Status_Date,Step_Status,Tostep_Status,Issue_type
RTICSD-231,Concluído,2020-06-17T16:32:41.352-0300,3594861,2020-06-19T15:22:18.030-0300,QA,Done,Add New Stores to Integrations CPG
RTICSD-230,Concluído,2020-06-17T16:20:51.716-0300,3574612,2020-06-17T19:05:18.851-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-230,Concluído,2020-06-17T16:20:51.716-0300,3574849,2020-06-17T19:22:51.945-0300,In Progress,Done,Report an Integration Problem - Integrations CPG
RTICSD-229,Concluído,2020-06-17T13:44:09.541-0300,3568364,2020-06-17T13:49:55.111-0300,Backlog,In Progress,Change Scheduling of Integration  CPG
RTICSD-229,Concluído,2020-06-17T13:44:09.541-0300,3568366,2020-06-17T13:49:59.852-0300,In Progress,Developers Analysis,Change Scheduling of Integration  CPG
RTICSD-229,Concluído,2020-06-17T13:44:09.541-0300,3569813,2020-06-17T15:18:17.772-0300,Developers Analysis,QA,Change Scheduling of Integration  CPG
RTICSD-229,Concluído,2020-06-17T13:44:09.541-0300,3569816,2020-06-17T15:18:20.837-0300,QA,Done,Change Scheduling of Integration  CPG
RTICSD-228,Concluído,2020-06-17T13:44:01.978-0300,3570379,2020-06-17T15:54:56.618-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-228,Concluído,2020-06-17T13:44:01.978-0300,3570441,2020-06-17T15:59:26.270-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-228,Concluído,2020-06-17T13:44:01.978-0300,3576431,2020-06-17T21:52:41.677-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-228,Concluído,2020-06-17T13:44:01.978-0300,3576432,2020-06-17T21:52:50.843-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-227,Concluído,2020-06-17T13:35:09.089-0300,3574630,2020-06-17T19:06:14.956-0300,To Do,In Progress,Emailed request
RTICSD-227,Concluído,2020-06-17T13:35:09.089-0300,3574632,2020-06-17T19:06:22.949-0300,In Progress,Done,Emailed request
