key,Current_status,Created,historyid,Status_Date,Step_Status,Tostep_Status,Issue_type
RTICSD-269,Concluído,2020-06-21T01:56:59.083-0300,3614084,2020-06-23T12:47:54.952-0300,Waiting for response,QA,Add New Stores to Integrations CPG
RTICSD-269,Concluído,2020-06-21T01:56:59.083-0300,3614087,2020-06-23T12:48:04.574-0300,QA,Done,Add New Stores to Integrations CPG
RTICSD-268,Concluído,2020-06-20T22:35:09.892-0300,3602420,2020-06-21T00:12:22.158-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-268,Concluído,2020-06-20T22:35:09.892-0300,3602422,2020-06-21T00:12:38.114-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-268,Concluído,2020-06-20T22:35:09.892-0300,3654998,2020-06-26T12:48:17.270-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-268,Concluído,2020-06-20T22:35:09.892-0300,3654999,2020-06-26T12:48:19.479-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-267,Concluído,2020-06-20T22:29:39.802-0300,3602424,2020-06-21T00:12:55.205-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-267,Concluído,2020-06-20T22:29:39.802-0300,3602425,2020-06-21T00:12:57.278-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-267,Concluído,2020-06-20T22:29:39.802-0300,3654928,2020-06-26T12:45:21.727-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-267,Concluído,2020-06-20T22:29:39.802-0300,3654930,2020-06-26T12:45:24.028-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-266,Concluído,2020-06-20T21:31:08.169-0300,3602365,2020-06-20T21:33:31.096-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-266,Concluído,2020-06-20T21:31:08.169-0300,3602368,2020-06-20T21:37:04.343-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-266,Concluído,2020-06-20T21:31:08.169-0300,3654959,2020-06-26T12:46:17.610-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-266,Concluído,2020-06-20T21:31:08.169-0300,3654962,2020-06-26T12:46:19.473-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-265,Concluído,2020-06-20T18:17:07.760-0300,3602296,2020-06-20T20:27:09.626-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-265,Concluído,2020-06-20T18:17:07.760-0300,3602322,2020-06-20T20:31:35.877-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-265,Concluído,2020-06-20T18:17:07.760-0300,3659974,2020-06-26T17:13:31.873-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-265,Concluído,2020-06-20T18:17:07.760-0300,3659980,2020-06-26T17:13:36.896-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-264,Concluído,2020-06-20T10:51:52.914-0300,3601936,2020-06-20T13:12:17.903-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-264,Concluído,2020-06-20T10:51:52.914-0300,3601938,2020-06-20T13:12:52.781-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-264,Concluído,2020-06-20T10:51:52.914-0300,3612712,2020-06-23T11:47:04.574-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-264,Concluído,2020-06-20T10:51:52.914-0300,3612719,2020-06-23T11:47:37.053-0300,QA,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-264,Concluído,2020-06-20T10:51:52.914-0300,3614383,2020-06-23T13:01:24.780-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-264,Concluído,2020-06-20T10:51:52.914-0300,3614385,2020-06-23T13:01:26.871-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-263,Concluído,2020-06-20T08:23:09.391-0300,3601709,2020-06-20T10:39:58.064-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-263,Concluído,2020-06-20T08:23:09.391-0300,3601715,2020-06-20T10:44:58.959-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-263,Concluído,2020-06-20T08:23:09.391-0300,3654938,2020-06-26T12:45:33.768-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-263,Concluído,2020-06-20T08:23:09.391-0300,3654939,2020-06-26T12:45:35.874-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-262,Concluído,2020-06-19T19:32:51.031-0300,3600800,2020-06-19T20:37:57.860-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-262,Concluído,2020-06-19T19:32:51.031-0300,3600807,2020-06-19T20:39:50.740-0300,In Progress,Done,Report an Integration Problem - Integrations CPG
RTICSD-261,Concluído,2020-06-19T18:06:03.075-0300,3597486,2020-06-19T18:23:38.904-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
